yahoo_symbol,fund_name,Years,CAGR_Yield,Trend_Slope,Trend_R_Squared,Consistency_CV,Max_Consecutive_Increases,Avg_YoY_Growth,Recent_Trend_Slope
0P00005UX7.BO,Franklin India Retirement Fund - IDCW,10,,0.19012121212121214,0.027393882561642408,52.613107475338126,5,inf,-4.47
0P00005UX8.BO,Franklin India Retirement Fund - Growth,10,,0.0,,,0,,0.0
0P00005UXI.BO,Franklin India Liquid Fund - Regular Plan - Growth,10,,0.0,,,0,,0.0
0P00005UXL.BO,Franklin India Liquid Fund - Institutional Plan - Weekly - IDCW,10,16.83182225823947,0.21939393939393942,0.08918452820891846,53.96722455462643,3,278.6125652041312,-2.8899999999999997
0P00005UXN.BO,Franklin India Liquid Fund - Super Institutional Plan - Growth,10,,0.0,,,0,,0.0
0P00005UXO.BO,Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW,10,12.306388624144926,0.175939393939394,0.05561749826762249,52.92203846993074,3,276.31140258950734,-2.975
0P00005UXP.BO,Franklin India Liquid Fund - Regular Plan - Weekly - IDCW,10,16.288339859705147,0.20854545454545453,0.08779354040333723,54.476032068222594,3,268.484028697838,-2.745
0P00005UY1.BO,UTI Conservative Hybrid Fund - Regular Plan - Growth Option,10,,0.0,,,0,,0.0
0P00005UY2.BO,UTI Conservative Hybrid Fund - Regular Plan - Flexi IDCW,10,,-0.258,0.10999980169496723,68.34957344067027,4,,-1.65
0P00005UY3.BO,UTI Conservative Hybrid Fund - Regular Plan - Monthly IDCW,10,,-0.04412121212121212,0.003385642709058953,52.889261726228874,1,108.96584811982545,-2.825
0P00005UY4.BO,UTI Low Duration Fund - Discontinued - Annaul Dividend Option,10,,0.0544848484848485,0.019539463490320718,81.7792185444083,1,inf,-1.195
0P00005UY5.BO,UTI Low Duration Fund - Discontinued Bonus Option,10,,0.0,,,0,,0.0
